Title,Year/Crew,Rating,Link
44 Grave of the Fireflies (1988),"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.456680509412818,https://www.imdb.com/title/tt0095327/
45 Seppuku (1962),"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.456060208980382,https://www.imdb.com/title/tt0056058/
46 Intouchables (2011),"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.453155989134224,https://www.imdb.com/title/tt1675434/
47 Modern Times (1936),"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.446632096878416,https://www.imdb.com/title/tt0027977/
48 Once Upon a Time in the West (1968),"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.439923014493514,https://www.imdb.com/title/tt0064116/
49 Cinema Paradiso (1988),"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.435832454284819,https://www.imdb.com/title/tt0095765/
50 Rear Window (1954),"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.4351378434153,https://www.imdb.com/title/tt0047396/
51 Alien (1979),"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.433237332427723,https://www.imdb.com/title/tt0078748/
52 City Lights (1931),"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.43177782061064,https://www.imdb.com/title/tt0021749/
53 Apocalypse Now (1979),"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.422608705544562,https://www.imdb.com/title/tt0078788/
54 Memento (2000),"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.418782503827169,https://www.imdb.com/title/tt0209144/
55 Django Unchained (2012),"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.409516223756091,https://www.imdb.com/title/tt1853728/
56 Indiana Jones and the Raiders of the Lost Ark (1981),"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.405747817114506,https://www.imdb.com/title/tt0082971/
57 WALL-E (2008),"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.395546242205691,https://www.imdb.com/title/tt0910970/
58 Das Leben der Anderen (2006),"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.383461465220138,https://www.imdb.com/title/tt0405094/
59 Sunset Boulevard (1950),"Billy Wilder (dir.), William Holden, Gloria Swanson",8.37868386322909,https://www.imdb.com/title/tt0043014/
60 Het veld van eer (1957),"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.371554881936882,https://www.imdb.com/title/tt0050825/
61 The Shining (1980),"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.364780423611748,https://www.imdb.com/title/tt0081505/
62 De dictator (1940),"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.363675822942906,https://www.imdb.com/title/tt0032553/
63 Avengers: Infinity War (2018),"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.362007925603875,https://www.imdb.com/title/tt4154756/
64 Witness for the Prosecution (1957),"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.359443770691234,https://www.imdb.com/title/tt0051201/
65 Aliens (1986),"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.342820392773243,https://www.imdb.com/title/tt0090605/
